state_id,hmm_confidence,atr_normalized,target_long_win,target_short_win
2,0.9999523470436793,0.0006973299769924378,1,0
2,0.9999861470500959,0.0007226786682984675,1,0
2,0.9928149424804057,0.000648487125683899,1,0
0,0.9961339258708092,0.0006568065489063766,1,0
0,0.9929745542289691,0.0006318476050106227,1,0
0,0.9959131068121391,0.0006235574828316096,1,0
1,0.8113868591774391,0.0006563926386288883,1,0
0,0.9612474247374199,0.0006479209733877711,1,0
2,0.9938954968376194,0.0006316632864739222,1,0
2,0.999938513434691,0.0006149261589647841,1,0
2,0.9999485043043899,0.0007641059213588486,1,0
2,0.9994531647696563,0.0009297326008398986,0,1
2,0.9999981540403253,0.0009881738283393923,0,1
2,0.9999971685241759,0.0010632860483431531,0,1
2,0.9999980176864122,0.0011470754530931355,0,1
2,0.9999992174483274,0.0011658017792463401,1,0
2,0.9992777420755934,0.0014091904983390055,0,0
2,0.9999933404654998,0.0014706321831173441,0,0
2,0.9999972220650692,0.0015619522824158372,0,1
2,0.9999975797147457,0.0015945168223109169,0,1
2,0.9999930399950528,0.0015716185517624433,0,1
2,0.9999782897231158,0.0015479950998302657,0,1
2,0.9999978935833853,0.0016007183349906892,0,1
2,0.9999890824197135,0.0016085121224004844,0,1
2,0.999993545333295,0.0014747881400747267,0,1
2,0.9999982513096994,0.0013673506451089106,0,1
2,0.9990499064114663,0.0013245094061753555,0,1
0,0.9956680956822358,0.0012999914778465545,0,1
0,0.9941790841808497,0.0012658128071609649,0,1
0,0.9972126310110799,0.0012073195153118265,0,1
0,0.5500386944290927,0.0010226476862241066,0,1
0,0.9981193106864331,0.0009555128461811804,0,1
2,0.9911821793514758,0.0008717146711637318,0,1
2,0.9999491853528417,0.0008626870386543709,0,1
2,0.9999950647337668,0.0008797497112616332,0,1
2,0.9999880157956406,0.0009136163768717749,0,1
2,0.9999750319745769,0.0008804680599977465,0,1
2,0.9999100932500965,0.0008801600928878021,0,1
2,0.9999986342736751,0.0009214039200364654,0,1
2,0.9999921200116085,0.000969938739489483,0,1
2,0.9999915739490752,0.00099495590412058,0,1
2,0.9999976040027432,0.0010715241109913011,0,0
2,0.9999754330454402,0.0011740464077275874,1,0
2,0.9999983419325066,0.001223892207643829,1,0
2,0.9999969555393323,0.0012069086557810367,1,0
2,0.9999900624327817,0.001215846226397257,1,0
2,0.9999949945247627,0.0013418916951372154,1,0
2,0.9999892640010932,0.0013582052481515726,1,0
2,0.9999542419073946,0.0013079608752059211,1,0
2,0.9999156148077917,0.0012827314573364825,1,0
2,0.999998871028493,0.001300446327608213,1,0
2,0.9999990330666279,0.0013569656377306575,1,0
2,0.9999112346085389,0.0013061550056922544,1,0
2,0.999947845978032,0.0012221999946648034,1,0
2,0.9999573573047238,0.0011710669102092419,1,0
2,0.9999233536416758,0.0010697804869417974,1,0
2,0.9998955331948994,0.0009440157896549119,1,0
2,0.9998844213245689,0.0008936768260677527,1,0
2,0.9999336646971981,0.0008682023158954563,1,0
2,0.9999497344152365,0.0008849286090982776,1,0
2,0.9998778247916138,0.0007762270420411172,1,0
2,0.9998811588547472,0.0007510916051500222,1,0
2,0.9999979742108336,0.0008006635499169937,1,0
2,0.9998830046339192,0.0008007152532633983,1,0
2,0.9999985947370857,0.0008089828161192197,1,0
2,0.999997303137205,0.0007840970356434182,1,0
2,0.9999976991320276,0.0008253278763783564,1,0
2,0.9999987835306579,0.0008674259109444085,1,0
2,0.9999979311627185,0.0009257265474806207,1,0
2,0.9999369725564738,0.0009177122263960781,1,0
2,0.9999291542457479,0.0009099479300405974,1,0
2,0.9999530610541982,0.0009269439127086524,1,0
2,0.9999724493893993,0.0009271166582840729,1,0
2,0.9999936986549339,0.0009443858952222894,1,0
2,0.9952710384061937,0.000945047353248223,1,0
0,0.9842054088583374,0.0009292115135775923,1,0
0,0.9941869358351357,0.000879573480692189,1,0
0,0.9895776832655134,0.0008633583823603907,1,0
0,0.9844279947714504,0.0008053462914390793,1,0
0,0.9780186265614786,0.0007633187180963166,1,0
2,0.9967463280795108,0.0006964952771460919,1,0
2,0.999992131763097,0.0006719027928090764,1,0
2,0.9999413448253746,0.0006386513697673134,1,0
2,0.9999989927705953,0.0007054353447099534,1,0
2,0.9999603331225829,0.0007309087173999522,1,0
2,0.9999325100545242,0.0006973180456876626,1,0
2,0.9999365376754367,0.0006969129664436882,1,0
2,0.9999040863119868,0.0006545834309979082,1,0
2,0.99999665469036,0.0006884817762752928,1,0
2,0.9999992965060956,0.0007463761189210006,1,0
2,0.9999990040756032,0.0007959731159012291,1,0
2,0.9999966951754726,0.0009211365274551535,1,0
2,0.9999427467393007,0.0010456959336380609,1,0
2,0.9999963757092895,0.001105145511415219,1,0
2,0.9999493950962398,0.0012213070842339705,1,0
2,0.9999964393973366,0.0012296355406540651,1,0
2,0.9999955232078883,0.0012465458558877048,1,0
2,0.9998877005123957,0.0012068225629244295,1,0
